来源身份批次,成员编号,资产编号,资产类型,标的,来源提供者,交易场所,市场类型,标的身份,精确合约,数据对象,Schema确切版本,授权边界,字段中文映射,状态,证据,限制,解除条件,输入成员SHA-256,远端元数据SHA-256,身份记录SHA-256,字段级证据SHA-256,授权快照SHA-256,字段证据状态
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-bf37564aac87c9161a93ff81,DS-000001,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,拒绝,冻结文件元数据漂移,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,6f210f5cac4068efe59c05ccd83b4aa2dd366ae73b635fbc253611e4e60c34bb,7d3e73ab67b4763c2b9bd56d29947275b30a04a3ca8279ac06cb65b174aff3b2,89279d7a6d38dd17f1be966893a302ac0f04b421d18c4d5ae8df96f96777e06d,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-3846d7813100d3d883f9e584,DS-000002,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,6b54cfaecaba756425d105f3eb174d67dda343b196c6d4d553b4ccf22dac9a4b,6aab59f422c456e37143292f6d54aa86695d65cdfdfbebc85a530babd65479e4,4a890557ee6dab3f6bf5a012680065eb54eb1e9194e681ab882931fbdfa4c69f,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-bad7fbdd2fd2ed50c31757ed,DS-000003,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,eed06d83a64889d174bf4470b7f403841c1b8cbef394fdcd7d26373548bc330a,d061fcb16fb6777f446e22452fd1da9150447236466055559677dc5ff9b99acf,fdb17eae0e24a53b24f20337e7699e15f57df09864a5a469791692c5f297c64f,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-4dee483dff86ed829a01f96f,DS-000004,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,f294fc879772804fde50e9093715f6f79193e34ec200003d39435c80c660dc0f,720b0a0ec07b2423c49fa77a2ad1206369e4947202f682a8f3bbf81fcf9f539f,26a0b5cd2113e37925bf2f51358d12753c8656e767532b0705894c2ee4b7a342,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-afe25106735b4aef36d7615a,DS-000005,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,c3a0b74beeb3a1728b5565c3f43d47d2233ef0001367bb8588714e9f0f4d5adc,3aacc067076bb4212d38867f851fe72665f8d3e84d052a4b6be4bd52ef0b9a7e,b2896ecf12132f71a5aadc962fc5ede8c1e89b08bfeeb32bf1cb3d05f9d85ac8,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-14965a0a91aae741bc36b74b,DS-000006,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,078e5f02252ebb65f8c728bc0c504e3a3d3e783ebbd2641e58b3841ea530fb97,77dbe614a8f2bc92e467e5ab83e152a5fcede5f87cc8d94361a07fc2b6af7ab3,266e95674ed7a322548a8124c4029ffb41d982c0a1c2f7e1e42a89fffdf07630,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-63b0e2c2062f1a2d08892d31,DS-000007,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,3d27809f20371a08ed176c677aaefe132b6a4fc3c9b9acf202f0e6982c17d731,49daf128eb6893d3be242aacd0327c3422b6ec16340e56008adfb8297eab75a4,3ef5f6914e252673d85aa1d700a58024919ea0bf20e7b4a1abeaa429c35b5f16,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-a3275f1ead9140426d316fda,DS-000008,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,c41e435f351a0e89dcf979f9d54f0c4bf6732364a3fa041800b57b48d68dcad2,fcdcc52fab696ec5166872c3d167d6e1d98e5835ed7779c1f8b58bbc0bbad138,1d9a7163c584941c54688f861337e1172f23b19d7ff92eef7a8dfe803b7a1b0c,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-24037d8a714b80d1f447c8ca,DS-000009,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,57f0db998d6317598e4c7335c89cb4bd04ec0e20592158cfc71f6fc34aa5ad44,09e18ef2878876ea6db89a0f7b2c7c3eb12d93a8abfb0ef65c6e87190284698d,8e6c10cdf815f43df301c418fb07300b9a7a601eb4760a98c7f88ff3e4b04622,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-8f0cd7b99b1e374adc146a4a,DS-000010,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,60a868b7ba10f0aef5db99fd373934b8abcce84661ec2ad1ccee966866bbb502,8e7dbe75a1caa269391456657f6fd17f34ff249e7efab2d2d69148c483fef998,ae5773c7a790b6e0db3291f2b76b68870f833128c5591fc55a56b78fbf6397bb,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-d7cbdc706bf9497b3c98b3eb,DS-000011,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,0ec6f6d6ec4c9b002bb715c2ae5793b70a41ece49bc4ab71ab962b1ea26e6c10,26789b5d20dbae0f16135ef140b42709ae8ccaecf050afe135217e49376e0b25,2817ed1a9a8eb78f88e426b4c1b4879b547f3672a6d270c20d9ea83679abb09a,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-bb992f68b3613e9c75ad8102,DS-000012,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,4029ce33cae96639a00b1f2934304f04d9204e36e7d06ee59efff58dc5e0082a,fdc496a04037c2928a7c825a0b74c05b6df3010d22d6942bf91e0770821ddbd7,356d92777968e18772c6bdff81ff13cbfe09c74d1208bb0a5238afd67d34b824,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-22947f2c8da15aea945c5d37,DS-000013,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,4b5998ebc81851afafa4abf90abf85ad6f259b9415055592ade9dfafdb51f0d3,c2a10ddf86d7c07d00b256d2247e0ca3da7ae96acc5f0acbb4714e8bc3177107,4282741e07e22d9df27c4bc4ac7d1e11cf4dd15be031249707e52ddd5fc6c48d,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-6fe292c785aa3707aa7bae85,DS-000014,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,a2913685c4ef3199de4ac1910f6c1bd45e3a521e39fad3c5475e0071673b8a28,26ce393d592408b8b90a63a956d01597dbfc20754d740bee55233bce52e4f526,0b30f573413ec9d82aee4b5a73a8bd4b975e08d5eff53d7a2a225b83b7f2815d,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-ebacff58193ae9067a1b085a,DS-000015,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,0954b82bf7f57e01d704dbddc6046326d1d248a34af7095367bb8eca340f6dcf,a7ce0a68e8361608d00d1a9f0d2c004df7b348790ac40a7d2662ac5e9104aa4a,dda6cce8350827d6d7bb46340f10236957f316e8cf64fb08fbfb32c2b709e2c5,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-c7222ddc077a12706bc85a0e,DS-000016,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,d541c1aa39ca532bc63001a37820a93db5822824a913980ff6e6492016cd8c06,d77de365071de3a0468f14d5bed403edb15607a04f12dfa034e3dc3987928b94,18fa7ea914169f87c94a0ec656812970c1337b437dfa51fc9d5203c05cb93f64,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-b662cded17c8b415bc18d325,DS-000017,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,724331ff5fb4ae5702e299c4ab592929e83424f81741ca15f49f79f17bb48302,64905395a8164cd3e90cd89b4554837d1eac1d8fe62ed161461790465b1cf814,149c3595463e11496ac3c0bfb6b829ed2cf08fe455c08b1083093ed04d1f2be3,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-8c0a2a61096b2a4424356b89,DS-000018,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,8ac6e149c9aa2f85191b075fe19ae6ab08e0241833b5e33f84b0a42f76e71509,a0ebb89c7c71f844d01ca0a4aa1d5e9d88b71ca31d06c164bbb31ea7d7d4f93c,dc1298b19e7e9d428f11a3144b7938aadceab240e937bf13fe665c907b2b3ca8,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-b8918337d2edc573b5335acf,DS-000019,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,9fe44aeeec52824c44f64f54bd209145b51e04d8a6e4a281d96b9d9c9c5adc3d,af70aa82df3122012ddcf6ee61c849166c2753331d4aa5c8af4a5ea11b72e49b,bf22213babaf06b0a4d4d87e9749bb8a6286c40df5ab6af35c3aa1c521447915,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-a74fe50809407c65c35e27b6,DS-000020,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,1c5ab3f968edb2a20de6de92fb10feb8d2736c0dbd5b1cc743a178c603b79e8b,22cbc2ea35ae12b0993e0d6f1353934b96936d0634ba963d8ec572e27de6e8bc,f434a373254ddb5bd5108cad7ece1f36ad288f9a2a3d5b508bc855f32b4d5d0e,未知,未知,未取得
source-identity-field-evidence-20260807T182456+0800-44d9871dc3b2,ZI-37ca6c4114c93bb8aabfdb40,DS-000021,候选数据文件,BTC,未知,未知,未知,未知,未知,未知,未知,未知,未知,无法判定,白名单普通文件stat与冻结输入一致,未读取文件正文；字段语义和授权边界未证明,提供当前版本字段级身份、Schema和授权边界证据后新建不可变批次,64628c57337149fa715a32c92112d28beb11ea157cc51cbef8d8fb2ac089af2d,a52f57c741fddad5f1b4927d98100ef3c839e6d3a2876e053def12dccc7d272e,7a460c1ca089cd9dabb95afeeb67c3b85eec4a0c6bd17ea4d43147d1a665a658,未知,未知,未取得
