验证批次,清单指纹,质量审计批次,资产编号,候选标的范围,决策记录编号,决策时间,事件时间字段,到达时间字段,采集时间字段,可见性合同状态,输入身份状态,第一门状态,可见记录数,首次快照指纹,再次快照指纹,确定性状态,未来数据拒绝状态,重放结论,依据,限制,解除条件,快照记录编号,快照合同版本,快照逻辑标识,快照版本标识,输入数据版本,输入数据哈希,输入资产集合指纹,重放结果哈希,不可重放原因代码,修复建议
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000001,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,拒绝（任务-000004已确认输入漂移）,拒绝（输入身份漂移）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,拒绝,任务-000004已确认结构阶段与质量阶段之间输入漂移，禁止进入重放；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,在新审计批次重新冻结输入，证明结构、质量与重放阶段身份一致；再提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（input_identity_drift）,replay-snapshot-contract-1.0,无法判定（input_identity_drift）,无法判定（input_identity_drift）,无法判定（input_identity_drift）,无法判定（input_identity_drift）,无法判定（input_identity_drift）,无法判定（input_identity_drift）,input_identity_drift,修复建议：创建新审计批次并重新冻结输入身份。
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000002,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,一致（冻结清单与质量证据）,无法判定（缺少真实决策记录与已证明到达时间合同）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,无法判定,完整扫描不等于可见性合同，且冻结输入合同未提供带来源证据的真实决策记录；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（decision_record_missing）,replay-snapshot-contract-1.0,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,decision_record_missing,修复建议：提供带来源证据、唯一编号和时区的历史决策记录。
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000003,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,一致（冻结清单与质量证据）,无法判定（缺少真实决策记录与已证明到达时间合同）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,无法判定,完整扫描不等于可见性合同，且冻结输入合同未提供带来源证据的真实决策记录；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（decision_record_missing）,replay-snapshot-contract-1.0,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,decision_record_missing,修复建议：提供带来源证据、唯一编号和时区的历史决策记录。
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000004,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,一致（冻结清单与质量证据）,无法判定（缺少真实决策记录与已证明到达时间合同）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,无法判定,完整扫描不等于可见性合同，且冻结输入合同未提供带来源证据的真实决策记录；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（decision_record_missing）,replay-snapshot-contract-1.0,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,decision_record_missing,修复建议：提供带来源证据、唯一编号和时区的历史决策记录。
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000005,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,一致（冻结清单与质量证据）,无法判定（缺少真实决策记录与已证明到达时间合同）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,无法判定,完整扫描不等于可见性合同，且冻结输入合同未提供带来源证据的真实决策记录；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（decision_record_missing）,replay-snapshot-contract-1.0,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,decision_record_missing,修复建议：提供带来源证据、唯一编号和时区的历史决策记录。
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000006,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,一致（冻结清单与质量证据）,无法判定（缺少真实决策记录与已证明到达时间合同）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,无法判定,完整扫描不等于可见性合同，且冻结输入合同未提供带来源证据的真实决策记录；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（decision_record_missing）,replay-snapshot-contract-1.0,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,decision_record_missing,修复建议：提供带来源证据、唯一编号和时区的历史决策记录。
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000007,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,一致（冻结清单与质量证据）,无法判定（缺少真实决策记录与已证明到达时间合同）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,无法判定,完整扫描不等于可见性合同，且冻结输入合同未提供带来源证据的真实决策记录；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（decision_record_missing）,replay-snapshot-contract-1.0,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,decision_record_missing,修复建议：提供带来源证据、唯一编号和时区的历史决策记录。
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000008,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,一致（冻结清单与质量证据）,无法判定（缺少真实决策记录与已证明到达时间合同）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,无法判定,完整扫描不等于可见性合同，且冻结输入合同未提供带来源证据的真实决策记录；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（decision_record_missing）,replay-snapshot-contract-1.0,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,decision_record_missing,修复建议：提供带来源证据、唯一编号和时区的历史决策记录。
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000009,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,一致（冻结清单与质量证据）,无法判定（缺少真实决策记录与已证明到达时间合同）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,无法判定,完整扫描不等于可见性合同，且冻结输入合同未提供带来源证据的真实决策记录；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（decision_record_missing）,replay-snapshot-contract-1.0,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,decision_record_missing,修复建议：提供带来源证据、唯一编号和时区的历史决策记录。
replay-20260731T033130+0800,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,audit-20260728T233014+0800,DS-000010,未限定,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定（缺少已证明的到达时间合同）,一致（冻结清单与质量证据）,无法判定（缺少真实决策记录与已证明到达时间合同）,无法判定,无法判定,无法判定,未执行（第一门未通过）,未执行（第一门未通过）,无法判定,完整扫描不等于可见性合同，且冻结输入合同未提供带来源证据的真实决策记录；事件、到达、采集时间状态均未形成可验证语义合同；字段名候选证据未被提升为时间语义,本结果不得用于预测研究、胜率或收益声称、交易许可或真实下单,提供带来源证据和明确时区的历史决策记录，冻结三类时间语义、稳定业务键与到达可见性合同,无法判定（decision_record_missing）,replay-snapshot-contract-1.0,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,无法判定（decision_record_missing）,decision_record_missing,修复建议：提供带来源证据、唯一编号和时区的历史决策记录。
