配置版本,估算类型,期限月数,期限天数,数据族,标的数,每标的数据流数,采样间隔秒数,单记录预算字节数,基础字节数,质量血缘字节数,副本后字节数,安全余量后字节数,限制
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,3,92,成交与价格,3,2,1,256,12209356800,1831403520,28081520640,36505976832,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,3,92,订单簿与流动性,3,1,5,4096,19534970880,2930245632,44930433024,58409562932,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,3,92,衍生品与资金,3,4,60,512,813957120,122093568,1872101376,2433731789,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,3,92,成本与执行,3,2,60,512,406978560,61046784,936050688,1216865895,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,3,92,总计,3,不适用,不适用,不适用,32965263360,4944789504,75820105728,98566137448,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,6,183,成交与价格,3,2,1,256,24286003200,3642900480,55857807360,72615149568,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,6,183,订单簿与流动性,3,1,5,4096,38857605120,5828640768,89372491776,116184239309,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,6,183,衍生品与资金,3,4,60,512,1619066880,242860032,3723853824,4841009972,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,6,183,成本与执行,3,2,60,512,809533440,121430016,1861926912,2420504986,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,6,183,总计,3,不适用,不适用,不适用,65572208640,9835831296,150816079872,196060903835,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,12,365,成交与价格,3,2,1,256,48439296000,7265894400,111410380800,144833495040,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,12,365,订单簿与流动性,3,1,5,4096,77502873600,11625431040,178256609280,231733592064,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,12,365,衍生品与资金,3,4,60,512,3229286400,484392960,7427358720,9655566336,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,12,365,成本与执行,3,2,60,512,1614643200,242196480,3713679360,4827783168,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
minimum-loop-capacity-1.0,规划预算（非真实采集统计）,12,365,总计,3,不适用,不适用,不适用,130786099200,19617914880,300808028160,391050436608,所有频率、流数、记录字节数和倍率均为容量规划假设；必须经只读试采批次校准后才能形成部署容量结论。
