资产编号,资产类型,服务或项目,位置,候选标的范围,任务-000062扫描状态,任务-000062扫描完整性,任务-000063复验层,任务-000063复验状态,正文读取,证据,解除条件
DS-000001,候选数据文件,binance-event,/opt/binance-event/data/contracts.sqlite3,未限定,输入漂移,未执行,普通文件输入漂移,拒绝,否,白名单stat复验字节数或最后修改时间仍与冻结清单不一致；未读取正文,重新发现并冻结与只读元数据一致的候选资产版本
DS-000080,候选数据文件,binance-event,/opt/binance-event/data/session_adaptive_reversal.sqlite3,未限定,输入漂移,未执行,普通文件输入漂移,拒绝,否,白名单stat复验字节数或最后修改时间仍与冻结清单不一致；未读取正文,重新发现并冻结与只读元数据一致的候选资产版本
DS-000194,候选数据文件,celueqing,/opt/celueqing/data/trading.sqlite3,未限定,输入漂移,未执行,普通文件输入漂移,拒绝,否,白名单stat复验字节数或最后修改时间仍与冻结清单不一致；未读取正文,重新发现并冻结与只读元数据一致的候选资产版本
DS-000222,候选数据文件,mysql,/var/lib/mysql/mysql/general_log.CSV,未限定,未执行,未执行,敏感系统日志,未执行,否,任务合同禁止读取敏感系统日志正文,新的独立授权、脱敏方案和资源预算
DS-000223,候选数据文件,mysql,/var/lib/mysql/mysql/slow_log.CSV,未限定,未执行,未执行,敏感系统日志,未执行,否,任务合同禁止读取敏感系统日志正文,新的独立授权、脱敏方案和资源预算
DS-000225,数据库元数据,celueqing,MySQL/celueqing/orders,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000226,数据库元数据,celueqing,MySQL/celueqing/research_config,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000227,数据库元数据,celueqing,MySQL/celueqing/research_orders,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000228,数据库元数据,celueqing,MySQL/celueqing/research_signals,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000229,数据库元数据,celueqing,MySQL/celueqing/score_rank_training_runs,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000230,数据库元数据,celueqing,MySQL/celueqing/simulation_orders,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000231,数据库元数据,celueqing,MySQL/celueqing/simulation_signals,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000232,数据库元数据,celueqing,MySQL/celueqing/simulation_strategies,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000233,数据库元数据,celueqing,MySQL/celueqing/simulation_strategy_unit_settings,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000234,数据库元数据,celueqing,MySQL/celueqing/strategies,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000235,数据库元数据,celueqing_recorder,MySQL/celueqing_recorder/processed_ledger,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000236,数据库元数据,celueqing_recorder,MySQL/celueqing_recorder/raw_trades,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000237,数据库元数据,celueqing_recorder,MySQL/celueqing_recorder/recorder_status,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000238,数据库元数据,celueqing_recorder,MySQL/celueqing_recorder/second_bars,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000239,数据库元数据,celueqing_recorder,MySQL/celueqing_recorder/shadow_agg_second_bars,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000240,数据库元数据,celueqing_recorder,MySQL/celueqing_recorder/shadow_agg_status,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000241,数据库元数据,celueqing_recorder,MySQL/celueqing_recorder/shadow_agg_trades,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000242,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/orders,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000243,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/research_config,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000244,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/research_orders,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000245,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/research_signals,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
DS-000246,数据库元数据,celueqing_recovery_test,MySQL/celueqing_recovery_test/score_rank_training_runs,未限定,仅元数据,元数据范围,数据库元数据范围,未执行,否,任务合同禁止读取数据库业务正文；仅保留元数据范围,新的独立授权、资源预算和对象级正文只读合同
