验证批次,资产编号,标的,来源成员编号,来源身份状态,来源身份版本,来源成员指纹,质量审计批次,质量扫描状态,质量扫描完整性,质量证据指纹,来源提供者,交易场所,市场类型,精确合约,数据对象,Schema确切版本,主研究尺度,决策记录编号,决策时间,数据截止时间,事件时间字段,到达时间字段,采集时间字段,可见性合同状态,输入数据版本,输入数据哈希,输入资产集合指纹,规则版本,代码版本,输入清单指纹,输出指纹,第一门状态,确定性状态,未来数据拒绝状态,重放结论,不可重放原因代码,依据,解除条件
replay-20260805T013159+0800-4492706a9320,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,拒绝,source-identity-1.0,dcb440a9d611881f9fe5345a5f475b1c44a99e3ff1ec4243510f548e1abdb392,audit-20260805T005824+0800,输入漂移,未执行,046a54781fc55977c31825b647f9bbcca541288ce74a893f56bf6f312ab0a260,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,c1346fa3cdd1a3507088d4fcbcb16bed12a288a8eb5136ac983af9b4126e9e49,拒绝,未执行（第一门未通过）,未执行（无决策记录）,拒绝,input_identity_drift,来源身份成员或质量批次显示输入身份漂移，禁止载入历史现场,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
replay-20260805T013159+0800-4492706a9320,DS-000001,ETH,ZI-c5c903e8e1925632a9160c98,拒绝,source-identity-1.0,b33e617515ae9e9e3e6a1443efdb1ada13705e65a55387170fe30fa6b8b016b5,audit-20260805T005824+0800,输入漂移,未执行,046a54781fc55977c31825b647f9bbcca541288ce74a893f56bf6f312ab0a260,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,8ea78262e465982816b9103983da8e568d68faa74da50a5422aa6ffd303247e2,拒绝,未执行（第一门未通过）,未执行（无决策记录）,拒绝,input_identity_drift,来源身份成员或质量批次显示输入身份漂移，禁止载入历史现场,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
replay-20260805T013159+0800-4492706a9320,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,无法判定,source-identity-1.0,440a9fda3bea832344824f3e2a411c54b017e1f82d438b2b36a6d77367f8fedc,audit-20260805T005824+0800,完成,完整,f6e54b68223688ca922713d348b92d03bdeff1c63cca0a0441206e5a26550abd,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,049e368afbbbf61b728e5d2a963285b37dd0afef69a7946bbf890d8e079dc001,无法判定,未执行（第一门未通过）,未执行（无决策记录）,无法判定,decision_record_missing,来源身份已登记但没有获批历史决策记录登记；不读取候选正文，不构造样例记录,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
replay-20260805T013159+0800-4492706a9320,DS-000002,ETH,ZI-279894722b92c663c0dd6dab,无法判定,source-identity-1.0,616b805ecb9c5f1503f584673009b582db559ab9dcd2c2b74a979649ae7d3cfc,audit-20260805T005824+0800,完成,完整,f6e54b68223688ca922713d348b92d03bdeff1c63cca0a0441206e5a26550abd,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,fa74c69e90fd84a2bca0fb987d404c8f61c2bbb957c49a1cf172d599a1413fa1,无法判定,未执行（第一门未通过）,未执行（无决策记录）,无法判定,decision_record_missing,来源身份已登记但没有获批历史决策记录登记；不读取候选正文，不构造样例记录,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
replay-20260805T013159+0800-4492706a9320,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,无法判定,source-identity-1.0,6c99794ef8750aac5e869898e0d23cd92fd1e50620cfa6d6f76a0287599521c6,audit-20260805T005824+0800,完成,完整,0e4188ffe34b567096be81d5993750ba3f951bd256cb6ed7fee8f02cc953a05f,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,b5c711a9ccbd6546e655f345d57c8ee834e09d6f640f0ff1c07528b9658a254f,无法判定,未执行（第一门未通过）,未执行（无决策记录）,无法判定,decision_record_missing,来源身份已登记但没有获批历史决策记录登记；不读取候选正文，不构造样例记录,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
replay-20260805T013159+0800-4492706a9320,DS-000003,ETH,ZI-bdc11e9d61341a2c9190bedb,无法判定,source-identity-1.0,d92cdb04c25d8ad7703fb4ce2738df70b4a58a3e49a1e6d27a5d8cccf30a9b8b,audit-20260805T005824+0800,完成,完整,0e4188ffe34b567096be81d5993750ba3f951bd256cb6ed7fee8f02cc953a05f,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,dfc040b82969ecc92339d9112d3244f940ff28ef86661fdcd2fe3d08a94672d4,无法判定,未执行（第一门未通过）,未执行（无决策记录）,无法判定,decision_record_missing,来源身份已登记但没有获批历史决策记录登记；不读取候选正文，不构造样例记录,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
replay-20260805T013159+0800-4492706a9320,DS-000004,BTC,ZI-4dee483dff86ed829a01f96f,无法判定,source-identity-1.0,4ee47e0e18caab96f5623705f1d3204d2dee1d1bd16b0260d46a5fe5dc7c2958,audit-20260805T005824+0800,完成,完整,7557ce484a65ecb909698ad0becf91b66f88030f1b8e9a3457866c4f58eafa9d,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,b4a58635db8d5edcbde0ef17dd2c9e264ed263e93d56a68d102ef4049aa3c713,无法判定,未执行（第一门未通过）,未执行（无决策记录）,无法判定,decision_record_missing,来源身份已登记但没有获批历史决策记录登记；不读取候选正文，不构造样例记录,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
replay-20260805T013159+0800-4492706a9320,DS-000004,ETH,ZI-f48b5e18e673871688598192,无法判定,source-identity-1.0,533b46098cef383899b2e383817ffb87f333a94f982be4e1afd8f36044d58ba7,audit-20260805T005824+0800,完成,完整,7557ce484a65ecb909698ad0becf91b66f88030f1b8e9a3457866c4f58eafa9d,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,50018b4a1931215b8cbdd95cce43f79a0ff43657b0a9abd392de77b6cd647793,无法判定,未执行（第一门未通过）,未执行（无决策记录）,无法判定,decision_record_missing,来源身份已登记但没有获批历史决策记录登记；不读取候选正文，不构造样例记录,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
replay-20260805T013159+0800-4492706a9320,DS-000005,BTC,ZI-afe25106735b4aef36d7615a,无法判定,source-identity-1.0,191b80b2d8f55d320ccc742ddf90f5843a7e5da4e97c5f80bf8e8583d8718df0,audit-20260805T005824+0800,完成,完整,614d6abf61e43e94b9eb025a4442dacf86d40a56170c4c205a77e53d39e390eb,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,7e81bbd9d0905188922828566aed9f8779d463312ea4f90202e9673623c17fb4,无法判定,未执行（第一门未通过）,未执行（无决策记录）,无法判定,decision_record_missing,来源身份已登记但没有获批历史决策记录登记；不读取候选正文，不构造样例记录,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
replay-20260805T013159+0800-4492706a9320,DS-000005,ETH,ZI-8353e10a871d52c975353c3f,无法判定,source-identity-1.0,76e598b0430409ec36136d32f5ba6d0571a77cf2b11b52006f31c025c2036433,audit-20260805T005824+0800,完成,完整,614d6abf61e43e94b9eb025a4442dacf86d40a56170c4c205a77e53d39e390eb,未知,未知,未知,未知,未知,未知,未判定（缺少确切研究尺度合同）,未登记,无法判定,无法判定,无法判定,无法判定,无法判定,未判定（未登记到达时间合同）,无法判定,无法判定,717d3a2fd3bae60ec6485365211ee579c49778a4ed9985a2688fb0b288e48214,dq-rules-1.0,eafd06da8f10cfb46df6be8952f94ac534e0038bc986f223bb5c26933c19f854,019010d64fe47d89c81bfaedafd458f1d886025bb34292c0c32eafcfa4392657,c176db2180d04f5a3f13911929c83edffbc73b079b2b5e208ec7640577086b1e,无法判定,未执行（第一门未通过）,未执行（无决策记录）,无法判定,decision_record_missing,来源身份已登记但没有获批历史决策记录登记；不读取候选正文，不构造样例记录,登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次
