批次,资产编号,标的,来源成员编号,交易场所,市场类型,精确合约,数据对象,主研究尺度,尺度证据状态,事后结果观察窗口,时间范围,来源身份批次,来源身份状态,来源成员指纹,时间质量批次,时间质量状态,质量内容指纹,质量审计批次,质量结论,断档状态,异常状态,重放批次,重放结论,成本批次,成本结论,门1来源身份,门2时间与质量合同,门3质量审计,门4历史重放,门5成本与执行,门6血缘,最终状态,原因,解除条件,成员指纹
loop-20260805T035900+0800-v4,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,未知,未知,未知,未知,4小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,拒绝,dcb440a9d611881f9fe5345a5f475b1c44a99e3ff1ec4243510f548e1abdb392,time-quality-20260804T101703+0800-3d3afc62d002,失败,32eff21fa501e0910162a2fb53b138d6144dcf6ceab4c235a492e7d72be3a6e3,audit-20260805T005824+0800,无法判定,无法判定,未执行,replay-20260805T013610+0800-4492706a9320,拒绝,cost-20260805T020500+0800-c2d7a91e5f40,拒绝,拒绝,拒绝,无法判定,拒绝,拒绝,通过,不可用,来源身份=拒绝;时间与质量合同=拒绝;质量审计=无法判定;历史重放=拒绝;成本与执行=拒绝,重新发现并冻结与只读元数据一致的候选资产版本；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,401ddd5e9de205ecb72056b0af1f483c43a03758fcf3d7732775c6b75149cec5
loop-20260805T035900+0800-v4,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,未知,未知,未知,未知,8小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,拒绝,dcb440a9d611881f9fe5345a5f475b1c44a99e3ff1ec4243510f548e1abdb392,time-quality-20260804T101703+0800-3d3afc62d002,失败,32eff21fa501e0910162a2fb53b138d6144dcf6ceab4c235a492e7d72be3a6e3,audit-20260805T005824+0800,无法判定,无法判定,未执行,replay-20260805T013610+0800-4492706a9320,拒绝,cost-20260805T020500+0800-c2d7a91e5f40,拒绝,拒绝,拒绝,无法判定,拒绝,拒绝,通过,不可用,来源身份=拒绝;时间与质量合同=拒绝;质量审计=无法判定;历史重放=拒绝;成本与执行=拒绝,重新发现并冻结与只读元数据一致的候选资产版本；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,39f51c46b572e8171291aa6037be17202be8dc07636934c2d47c6ec80b2df239
loop-20260805T035900+0800-v4,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,未知,未知,未知,未知,24小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,拒绝,dcb440a9d611881f9fe5345a5f475b1c44a99e3ff1ec4243510f548e1abdb392,time-quality-20260804T101703+0800-3d3afc62d002,失败,32eff21fa501e0910162a2fb53b138d6144dcf6ceab4c235a492e7d72be3a6e3,audit-20260805T005824+0800,无法判定,无法判定,未执行,replay-20260805T013610+0800-4492706a9320,拒绝,cost-20260805T020500+0800-c2d7a91e5f40,拒绝,拒绝,拒绝,无法判定,拒绝,拒绝,通过,不可用,来源身份=拒绝;时间与质量合同=拒绝;质量审计=无法判定;历史重放=拒绝;成本与执行=拒绝,重新发现并冻结与只读元数据一致的候选资产版本；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,f44b59bb30d0ffb4c8b02b985dfa0a43f79826ba137ee2a87d4dd64b9d2ea621
loop-20260805T035900+0800-v4,DS-000001,BTC,ZI-bf37564aac87c9161a93ff81,未知,未知,未知,未知,48小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,拒绝,dcb440a9d611881f9fe5345a5f475b1c44a99e3ff1ec4243510f548e1abdb392,time-quality-20260804T101703+0800-3d3afc62d002,失败,32eff21fa501e0910162a2fb53b138d6144dcf6ceab4c235a492e7d72be3a6e3,audit-20260805T005824+0800,无法判定,无法判定,未执行,replay-20260805T013610+0800-4492706a9320,拒绝,cost-20260805T020500+0800-c2d7a91e5f40,拒绝,拒绝,拒绝,无法判定,拒绝,拒绝,通过,不可用,来源身份=拒绝;时间与质量合同=拒绝;质量审计=无法判定;历史重放=拒绝;成本与执行=拒绝,重新发现并冻结与只读元数据一致的候选资产版本；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,a9ef43a4d86263d350cf7a9626c3e36919a0f659d7b6efa0e916e6627fa914cc
loop-20260805T035900+0800-v4,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,未知,未知,未知,未知,4小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,无法判定,440a9fda3bea832344824f3e2a411c54b017e1f82d438b2b36a6d77367f8fedc,time-quality-20260804T101703+0800-3d3afc62d002,无法判定,edaa3ea86cce3769ccee0c155e6443a8c76dbd1ef78413b264c780e71b150d3f,audit-20260805T005824+0800,无法判定,无法判定,已执行,replay-20260805T013610+0800-4492706a9320,无法判定,cost-20260805T020500+0800-c2d7a91e5f40,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,无法判定,来源身份=无法判定;时间与质量合同=无法判定;质量审计=无法判定;历史重放=无法判定;成本与执行=无法判定,提供并冻结来源、场所、市场、标的、合约、数据对象、Schema、授权和字段映射证据；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,6878f39b5d82660a6b1ff5b58ca808d2f105caea8bae92e636ddba27bdb89d9e
loop-20260805T035900+0800-v4,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,未知,未知,未知,未知,8小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,无法判定,440a9fda3bea832344824f3e2a411c54b017e1f82d438b2b36a6d77367f8fedc,time-quality-20260804T101703+0800-3d3afc62d002,无法判定,edaa3ea86cce3769ccee0c155e6443a8c76dbd1ef78413b264c780e71b150d3f,audit-20260805T005824+0800,无法判定,无法判定,已执行,replay-20260805T013610+0800-4492706a9320,无法判定,cost-20260805T020500+0800-c2d7a91e5f40,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,无法判定,来源身份=无法判定;时间与质量合同=无法判定;质量审计=无法判定;历史重放=无法判定;成本与执行=无法判定,提供并冻结来源、场所、市场、标的、合约、数据对象、Schema、授权和字段映射证据；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,8d475f3819b5dd6664704d0020828a8da81bfb3b4633f15d0bd96578399c1407
loop-20260805T035900+0800-v4,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,未知,未知,未知,未知,24小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,无法判定,440a9fda3bea832344824f3e2a411c54b017e1f82d438b2b36a6d77367f8fedc,time-quality-20260804T101703+0800-3d3afc62d002,无法判定,edaa3ea86cce3769ccee0c155e6443a8c76dbd1ef78413b264c780e71b150d3f,audit-20260805T005824+0800,无法判定,无法判定,已执行,replay-20260805T013610+0800-4492706a9320,无法判定,cost-20260805T020500+0800-c2d7a91e5f40,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,无法判定,来源身份=无法判定;时间与质量合同=无法判定;质量审计=无法判定;历史重放=无法判定;成本与执行=无法判定,提供并冻结来源、场所、市场、标的、合约、数据对象、Schema、授权和字段映射证据；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,e9b9fb3a263b88e151b37ce9a480d4becc3eb07f358bd14b6a8b3c41214a985b
loop-20260805T035900+0800-v4,DS-000002,BTC,ZI-3846d7813100d3d883f9e584,未知,未知,未知,未知,48小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,无法判定,440a9fda3bea832344824f3e2a411c54b017e1f82d438b2b36a6d77367f8fedc,time-quality-20260804T101703+0800-3d3afc62d002,无法判定,edaa3ea86cce3769ccee0c155e6443a8c76dbd1ef78413b264c780e71b150d3f,audit-20260805T005824+0800,无法判定,无法判定,已执行,replay-20260805T013610+0800-4492706a9320,无法判定,cost-20260805T020500+0800-c2d7a91e5f40,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,无法判定,来源身份=无法判定;时间与质量合同=无法判定;质量审计=无法判定;历史重放=无法判定;成本与执行=无法判定,提供并冻结来源、场所、市场、标的、合约、数据对象、Schema、授权和字段映射证据；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,4895a5dfc63e8c93a49af275d28012edefff8cea09981d87476f9200e93a0cc4
loop-20260805T035900+0800-v4,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,未知,未知,未知,未知,4小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,无法判定,6c99794ef8750aac5e869898e0d23cd92fd1e50620cfa6d6f76a0287599521c6,time-quality-20260804T101703+0800-3d3afc62d002,无法判定,d253bfb66ffa77e6d3252d0ad5849ef0679bcf4ecb7a70f0c42aafe93c353787,audit-20260805T005824+0800,无法判定,无法判定,已执行,replay-20260805T013610+0800-4492706a9320,无法判定,cost-20260805T020500+0800-c2d7a91e5f40,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,无法判定,来源身份=无法判定;时间与质量合同=无法判定;质量审计=无法判定;历史重放=无法判定;成本与执行=无法判定,提供并冻结来源、场所、市场、标的、合约、数据对象、Schema、授权和字段映射证据；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,1bac58789a6d5dd8e39075f2178622af0498ac60c18e7dedbd3279e0b5f6a2fe
loop-20260805T035900+0800-v4,DS-000003,BTC,ZI-bad7fbdd2fd2ed50c31757ed,未知,未知,未知,未知,8小时,重放=无法判定;成本=无法判定,"[""15分钟"",""1小时""]",无法判定,source-identity-20260803T131620+0800-e7bc65038f21,无法判定,6c99794ef8750aac5e869898e0d23cd92fd1e50620cfa6d6f76a0287599521c6,time-quality-20260804T101703+0800-3d3afc62d002,无法判定,d253bfb66ffa77e6d3252d0ad5849ef0679bcf4ecb7a70f0c42aafe93c353787,audit-20260805T005824+0800,无法判定,无法判定,已执行,replay-20260805T013610+0800-4492706a9320,无法判定,cost-20260805T020500+0800-c2d7a91e5f40,无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,无法判定,来源身份=无法判定;时间与质量合同=无法判定;质量审计=无法判定;历史重放=无法判定;成本与执行=无法判定,提供并冻结来源、场所、市场、标的、合约、数据对象、Schema、授权和字段映射证据；按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据；登记带来源证据的决策编号、决策时点、数据截止时间及三类时间合同；重新生成不可变批次；登记带来源、时间、版本、数据截止和可见性证据的手续费、价差、深度、冲击、资金费率、延迟和可成交量；重新发布批次,bd85727684fc9078c0f32d2e872fc70164351d44bb9d91ec1516d89d0b57e83a
