来源身份批次,成员编号,资产编号,资产类型,标的,输入成员SHA-256,数据库Schema,数据库表,状态,元数据状态,结构证据,限制,解除条件,元数据SHA-256,SchemaSHA-256,授权边界快照SHA-256,成员记录SHA-256
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-0694ca8ffce7194a5edb1a0f,DS-000225,数据库元数据,BTC,31c46439848b2efd4dd25f0894f6ce7296e53e7d983b81530451c4d4879bc220,celueqing,orders,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,a269b56ec339fcb6cfcca78d0bf20fbbc8253607ea5e79893d65f7f1a1f85d8d,4dab12afc3c64863e57eeae51b6ccf945d90d871ff36f4b8e885f33eb315ca7d,aadeb10880a243ecfe9d20e1038223fbd1086a8df3765d7ec06ff18578c35165,fa3b929229aedcce1e1feee80a7324e76980e3c4c5a3e6af99fcfe57726c3497
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-b14dc6c9a93cf52c6c414771,DS-000226,数据库元数据,BTC,6a81bb21010d297d98dd3ec7d464e7118f4b2d9fe881e05831f744f092a7bb21,celueqing,research_config,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,64537337886a30defffb4607295e2b422e85cf0987b5d686e40645a170354524,ba51a86ffd49ba3736a8c7ae82602db4fc7c5f807dd5323d34a29f3096bd24a1,9f2abc116b9f2160691b63bd45daaa4396cfa6768e38006aec202551a4a2fa84,f3c5952a0c9bd3a2caeab66289436abb0646e533760b93dd4a1f4b385c6b2a7e
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-bb74646c795efd1568463fd5,DS-000227,数据库元数据,BTC,2ac0c84203efd9c2735cdb91f464d07bc39ee71c28da7cdc8cf4b0a2c0c359f7,celueqing,research_orders,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,fe969debfaafe3cf452e413f47e76d27cb8f6c735b94c479a231cf41cd64a925,f303e9b4ba4d12fd90e13c62055a4669d06247883f16cb00a550cd72e73ec300,bcc66a4ebf10c718fd4f136f210ca29f4e13d0fca53e111fd9ac06b8cb289d87,f7da7faa168709de8924bb2402f360c92f7518112435fbde07ada48b9c614870
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-e5230a52ad3a08cbc1de9499,DS-000228,数据库元数据,BTC,ded39db7f820476590ee31689b0e683dd170115a1af80b15191867fc8cfc2848,celueqing,research_signals,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,f5b94cca262e126f08554674644c61f37cf93ba258489eaafb849979f20b3ad8,ecf64f4dfa161534a8dac8e5da721486cf56979815d312d3b10626859289add0,ceb7af4b52a9f78d2c74cc22851253c1babb2516baf3195f1f16bdc808db3556,d8bedd94945413bea0dce5a2773426333ebf8449b062554be49ced7595019ccf
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-3fd360a6acc4e7dc0e4d25aa,DS-000229,数据库元数据,BTC,f92abe1336fcf2463981b9bf09595da91c6642688d884b9321950c809461e668,celueqing,score_rank_training_runs,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,24b622d26bab9cc89755832bec438a583b04050cb6eda9d81fbd07af87363247,f8fa2c64c99e2945d4c502443c2a30e658ed54a3182e028a2203de8637f69e6f,d729d0252dbeb6d766094cd9fd7f233a300f89a1e4a2c435317cb9e65b76f27a,98ebb0c52585d6b0bef31be795e5ef2d957b33922bc8d95a8b2d33ba0c8ab15c
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-84932a2cb8d1dbb102b157bc,DS-000230,数据库元数据,BTC,696fc7c4311abe694bffc605e03c287a75b809028054b2796902f493ea776b60,celueqing,simulation_orders,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,64e0935830c05e188702ed1294bc4ee36904bfe0fadc9a8bd4cd034634a53163,5a237f3499968d64cda7bbac1753af896b389005f936f391c80ae9ee9722a3b4,31591780fe65a86c2ee56f425b6f5702a0439833cd4473c8435785b6bc6e8e36,8f202207a0e752592f0484b320baba1ab92008c5ae52d878bd67e2900bad1271
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-931fd13d49e7871a65721be5,DS-000231,数据库元数据,BTC,1ddffa1f0f31556fe0d2dc68a47c93c046bfcfab4dcad6b6413e954c85a567ce,celueqing,simulation_signals,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,dba7957c34d2d15351c14b745f36339e577cd21c9a1e219c1e85039aeaf8a579,dc647c466c412e9486bf50d4fedea2d6d80a0eb2dcce1844bd282f5c723ce068,ac67358927b5974de2f9209795af76f617de556ba74546fb3d688317545884d2,01f1cb791ce71a151303249da19731cb27deba9553f86e7b130783de6be5cb72
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-0db81498191dada0dd3edbeb,DS-000232,数据库元数据,BTC,d5e98969dd30d95cf796e35f21a830b2e8ab6decb9c18e07dba58527efbd0f89,celueqing,simulation_strategies,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,98785e20dcfa8e43b8ab584fefd4f293ad8d4825271d60eb45f09d936977dc00,50e40c99d70ea31fe8cfe2567a5a22a971bcd2a5e1ec5d2128cd593fa6ffd2ee,ee64a1731ebd7a789524f449cccef2e37fd47709bf8e9d50b43ed789dc7edbab,f33ce648ed9dbda67b08cbe33f39748bb264ce72d81330ea350a6b40edc2188a
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-40e1501e3846b2cfea5a7abc,DS-000233,数据库元数据,BTC,72e7313ef8e524b350b1ace10c8d6b8626b5188e0d1dd969dfa6e1b8fcbd5739,celueqing,simulation_strategy_unit_settings,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,74f6ce3cf6fbc423986fbe3a36341182e07437ccbbd8e8b9aef003bb978d5908,db6b8712077ed3d074a4a081f34624e21403f37aab1bf4086dd49cd130e1ef1d,5187d3cc537ccb45c22df117d08d418c2cbe5b224d4c448a9b857218eb6fc3b4,915036101c52714bdc868e8b0beef383fe592335348a0b842781f46d24f0b8e8
source-identity-field-evidence-20260808T020108+0800-7634991794d9,ZI-180e97d2bf1963cdbc241452,DS-000234,数据库元数据,BTC,32b66f7841fcfd1a8692bb0602413683c771ac914082faa7548d5a3cd7b46044,celueqing,strategies,无法判定,已观察,获批information_schema元数据与冻结输入一致,只读取information_schema元数据；结构观察不证明来源、市场、合约或时间,补齐当前版本来源提供者、交易场所、市场类型、精确合约、数据对象、Schema和授权证据后重新发布不可变批次,99255e122f8368e6c566c6138e5178cef37692855420908e2a289f28078bfddf,d5270bef94896758cb79e26a97626b94f7d6d96628cad5657c09d292c4864502,50c2754118e433da556307f60ea75b78b832102cf7f74a8f96cccc19491132c8,5f5c239a6e9f86dcb0649eafbe57169e742d4e5fd062e6271bfa9ef162d3b055
