批次,标的,资产编号,成员编号,资产类型,交易场所,精确合约,数据对象,事件类型,主研究尺度,结果观察窗口,来源身份状态,状态版本,三类时间,数据质量规则,可见性状态,候选状态,输入成员SHA-256,内容指纹,原因,解除条件
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000001,ZI-bf37564aac87c9161a93ff81,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",拒绝,source-identity-recapture-1.0:6f210f5cac4068efe59c05ccd83b4aa2dd366ae73b635fbc253611e4e60c34bb,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""失败"",""精度"":""未知"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""失败"",""精度"":""未知"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""失败"",""精度"":""未知"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""}}","{""业务键"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""修订"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""异常"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""排序"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""撤销"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""数据截止"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""断档"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""时钟漂移"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""补录"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""迟到"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""重复"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""},""频率"":{""状态"":""失败"",""证据"":""来源身份已拒绝，三类时间与可见性无法建立""}}",失败,已观察,6f210f5cac4068efe59c05ccd83b4aa2dd366ae73b635fbc253611e4e60c34bb,9221030fdf27811c8011c1ecf2eace0e495aee8f9a48599f85fa0f2201f96f07,来源身份已拒绝，三类时间与可见性无法建立,重新冻结与只读元数据一致的来源身份版本
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000002,ZI-3846d7813100d3d883f9e584,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",无法判定,source-identity-recapture-1.0:6b54cfaecaba756425d105f3eb174d67dda343b196c6d4d553b4ccf22dac9a4b,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}","{""业务键"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""修订"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""异常"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""排序"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""撤销"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""数据截止"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""断档"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""时钟漂移"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""补录"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""迟到"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""重复"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""频率"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}",无法判定,已观察,6b54cfaecaba756425d105f3eb174d67dda343b196c6d4d553b4ccf22dac9a4b,4cabcc28b63ef6fe7069850ef2253952063b2f8d13e859610c50dcdb92fbce97,未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据,提供当前版本字段级时间与可见性证据后新建批次
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000003,ZI-bad7fbdd2fd2ed50c31757ed,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",无法判定,source-identity-recapture-1.0:eed06d83a64889d174bf4470b7f403841c1b8cbef394fdcd7d26373548bc330a,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}","{""业务键"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""修订"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""异常"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""排序"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""撤销"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""数据截止"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""断档"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""时钟漂移"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""补录"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""迟到"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""重复"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""频率"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}",无法判定,已观察,eed06d83a64889d174bf4470b7f403841c1b8cbef394fdcd7d26373548bc330a,0215828bccbd21fb2714a45368cc5aca8d5833fb7c2ebff3dd721eac2779666d,未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据,提供当前版本字段级时间与可见性证据后新建批次
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000004,ZI-4dee483dff86ed829a01f96f,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",无法判定,source-identity-recapture-1.0:f294fc879772804fde50e9093715f6f79193e34ec200003d39435c80c660dc0f,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}","{""业务键"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""修订"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""异常"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""排序"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""撤销"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""数据截止"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""断档"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""时钟漂移"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""补录"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""迟到"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""重复"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""频率"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}",无法判定,已观察,f294fc879772804fde50e9093715f6f79193e34ec200003d39435c80c660dc0f,21d566e5d62c5f6efb42c0d62b3541a6d23e7bf422d35f6d32be52c4a46d4ad1,未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据,提供当前版本字段级时间与可见性证据后新建批次
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000005,ZI-afe25106735b4aef36d7615a,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",无法判定,source-identity-recapture-1.0:c3a0b74beeb3a1728b5565c3f43d47d2233ef0001367bb8588714e9f0f4d5adc,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}","{""业务键"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""修订"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""异常"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""排序"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""撤销"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""数据截止"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""断档"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""时钟漂移"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""补录"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""迟到"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""重复"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""频率"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}",无法判定,已观察,c3a0b74beeb3a1728b5565c3f43d47d2233ef0001367bb8588714e9f0f4d5adc,d5dccb46a74bfd8ecc943808f6484a4d89d56bce65a196e8e52b9f9ee6bb4280,未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据,提供当前版本字段级时间与可见性证据后新建批次
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000006,ZI-14965a0a91aae741bc36b74b,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",无法判定,source-identity-recapture-1.0:078e5f02252ebb65f8c728bc0c504e3a3d3e783ebbd2641e58b3841ea530fb97,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}","{""业务键"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""修订"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""异常"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""排序"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""撤销"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""数据截止"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""断档"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""时钟漂移"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""补录"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""迟到"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""重复"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""频率"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}",无法判定,已观察,078e5f02252ebb65f8c728bc0c504e3a3d3e783ebbd2641e58b3841ea530fb97,ff88eea442caac4ec1223ba578453fc925d9a389ce7fb41216220214770d1ece,未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据,提供当前版本字段级时间与可见性证据后新建批次
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000007,ZI-63b0e2c2062f1a2d08892d31,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",无法判定,source-identity-recapture-1.0:3d27809f20371a08ed176c677aaefe132b6a4fc3c9b9acf202f0e6982c17d731,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}","{""业务键"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""修订"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""异常"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""排序"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""撤销"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""数据截止"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""断档"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""时钟漂移"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""补录"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""迟到"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""重复"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""频率"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}",无法判定,已观察,3d27809f20371a08ed176c677aaefe132b6a4fc3c9b9acf202f0e6982c17d731,c12fd8206a25eb9a7cdb3405ee89f485bf0d4a7e1f78ae7928d7618008a9ac12,未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据,提供当前版本字段级时间与可见性证据后新建批次
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000008,ZI-a3275f1ead9140426d316fda,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",无法判定,source-identity-recapture-1.0:c41e435f351a0e89dcf979f9d54f0c4bf6732364a3fa041800b57b48d68dcad2,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}","{""业务键"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""修订"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""异常"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""排序"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""撤销"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""数据截止"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""断档"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""时钟漂移"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""补录"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""迟到"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""重复"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""频率"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}",无法判定,已观察,c41e435f351a0e89dcf979f9d54f0c4bf6732364a3fa041800b57b48d68dcad2,e94709e975bc29ff5734a5e3d012940c3d0ea4080793ad28538d88f902e124ec,未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据,提供当前版本字段级时间与可见性证据后新建批次
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000009,ZI-24037d8a714b80d1f447c8ca,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",无法判定,source-identity-recapture-1.0:57f0db998d6317598e4c7335c89cb4bd04ec0e20592158cfc71f6fc34aa5ad44,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}","{""业务键"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""修订"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""异常"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""排序"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""撤销"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""数据截止"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""断档"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""时钟漂移"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""补录"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""迟到"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""重复"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""频率"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}",无法判定,已观察,57f0db998d6317598e4c7335c89cb4bd04ec0e20592158cfc71f6fc34aa5ad44,6e763ec26e7ea2b36664396f1da37fcedcfc7ccb1a9effb755d5e2217f374341,未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据,提供当前版本字段级时间与可见性证据后新建批次
time-visibility-recapture-20260807T144822+0800-114ed0567118,BTC,DS-000010,ZI-8f0cd7b99b1e374adc146a4a,候选数据文件,未知,未知,未知,未知（未读取业务记录）,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]",无法判定,source-identity-recapture-1.0:60a868b7ba10f0aef5db99fd373934b8abcce84661ec2ad1ccee966866bbb502,"{""事件时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""到达时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""采集时间"":{""值"":null,""数据截止"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}","{""业务键"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""修订"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""异常"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""排序"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""撤销"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""数据截止"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""断档"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""时钟漂移"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""补录"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""迟到"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""重复"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""},""频率"":{""状态"":""无法判定"",""证据"":""未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据""}}",无法判定,已观察,60a868b7ba10f0aef5db99fd373934b8abcce84661ec2ad1ccee966866bbb502,1d0e8ae685aa02f635c2ff475948e329a8816e3514eac96f482adae7500d8dd1,未读取业务正文，缺少三类时间、时区、精度、截止点和规则证据,提供当前版本字段级时间与可见性证据后新建批次
