批次,成员编号,资产编号,标的,资产类型,质量状态,来源身份状态,主研究尺度,事后结果观察窗口,三类时间,质量规则,输入成员SHA-256,内容指纹,原因,解除条件
time-quality-20260804T101703+0800-3d3afc62d002,ZI-bf37564aac87c9161a93ff81,DS-000001,BTC,候选数据文件,失败,拒绝,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",6f210f5cac4068efe59c05ccd83b4aa2dd366ae73b635fbc253611e4e60c34bb,32eff21fa501e0910162a2fb53b138d6144dcf6ceab4c235a492e7d72be3a6e3,来源身份已拒绝，不能形成时间与质量输入,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
time-quality-20260804T101703+0800-3d3afc62d002,ZI-3846d7813100d3d883f9e584,DS-000002,BTC,候选数据文件,无法判定,无法判定,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",6b54cfaecaba756425d105f3eb174d67dda343b196c6d4d553b4ccf22dac9a4b,edaa3ea86cce3769ccee0c155e6443a8c76dbd1ef78413b264c780e71b150d3f,缺少事件、到达、采集时间及对象级质量证据,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
time-quality-20260804T101703+0800-3d3afc62d002,ZI-bad7fbdd2fd2ed50c31757ed,DS-000003,BTC,候选数据文件,无法判定,无法判定,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",eed06d83a64889d174bf4470b7f403841c1b8cbef394fdcd7d26373548bc330a,d253bfb66ffa77e6d3252d0ad5849ef0679bcf4ecb7a70f0c42aafe93c353787,缺少事件、到达、采集时间及对象级质量证据,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
time-quality-20260804T101703+0800-3d3afc62d002,ZI-4dee483dff86ed829a01f96f,DS-000004,BTC,候选数据文件,无法判定,无法判定,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",f294fc879772804fde50e9093715f6f79193e34ec200003d39435c80c660dc0f,67b7f0c9cc75b245ac9395f96055dd1400db139413c9477d69bf74b821541eef,缺少事件、到达、采集时间及对象级质量证据,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
time-quality-20260804T101703+0800-3d3afc62d002,ZI-afe25106735b4aef36d7615a,DS-000005,BTC,候选数据文件,无法判定,无法判定,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",c3a0b74beeb3a1728b5565c3f43d47d2233ef0001367bb8588714e9f0f4d5adc,45686c1c2634358d9ee70c1048cec8290ed928ad75ea9d9865c62688e9d50908,缺少事件、到达、采集时间及对象级质量证据,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
time-quality-20260804T101703+0800-3d3afc62d002,ZI-14965a0a91aae741bc36b74b,DS-000006,BTC,候选数据文件,无法判定,无法判定,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",078e5f02252ebb65f8c728bc0c504e3a3d3e783ebbd2641e58b3841ea530fb97,91f423e8cc6e2d5ab7762a3fbe46e00fe9c7bcdea22bad83193100eacf2aec18,缺少事件、到达、采集时间及对象级质量证据,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
time-quality-20260804T101703+0800-3d3afc62d002,ZI-63b0e2c2062f1a2d08892d31,DS-000007,BTC,候选数据文件,无法判定,无法判定,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",3d27809f20371a08ed176c677aaefe132b6a4fc3c9b9acf202f0e6982c17d731,f73edce3f62c58f27dafae59a7a526c5e6651c3a47102293977d4606c139db40,缺少事件、到达、采集时间及对象级质量证据,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
time-quality-20260804T101703+0800-3d3afc62d002,ZI-a3275f1ead9140426d316fda,DS-000008,BTC,候选数据文件,无法判定,无法判定,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",c41e435f351a0e89dcf979f9d54f0c4bf6732364a3fa041800b57b48d68dcad2,1ac960aa1d05f9cd46a3941ca4637ffd244bac24c018272e9d5d8316e1447108,缺少事件、到达、采集时间及对象级质量证据,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
time-quality-20260804T101703+0800-3d3afc62d002,ZI-24037d8a714b80d1f447c8ca,DS-000009,BTC,候选数据文件,无法判定,无法判定,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",57f0db998d6317598e4c7335c89cb4bd04ec0e20592158cfc71f6fc34aa5ad44,692b56061aba4fda8ebe2c08a768b7c1bb2ba112ed2d457043f5a136383f80b7,缺少事件、到达、采集时间及对象级质量证据,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
time-quality-20260804T101703+0800-3d3afc62d002,ZI-8f0cd7b99b1e374adc146a4a,DS-000010,BTC,候选数据文件,无法判定,无法判定,"[""4小时"",""8小时"",""24小时"",""48小时""]","[""15分钟"",""1小时""]","{""事件时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""到达时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""},""采集时间"":{""字段"":""未知"",""时区"":""未知"",""状态"":""无法判定"",""精度"":""未知"",""证据"":""任务-000029来源身份清单未提供可证明的时间语义""}}","{""业务键"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""修订"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""异常"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""排序"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""撤销"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""数据截止"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""断档"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""时钟漂移"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""补录"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""迟到"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""重复"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""},""频率"":{""状态"":""无法判定"",""规则"":""未知；不得统计、修复、去重或推断"",""证据"":""尚未取得该对象的质量规则证据""}}",60a868b7ba10f0aef5db99fd373934b8abcce84661ec2ad1ccee966866bbb502,a69cf8cbfee3b2cfb32b4f50a449efe99d394bd3f0192d78344fb344a6de9703,缺少事件、到达、采集时间及对象级质量证据,按对象和确切版本提供三类时间、时区、频率、业务键、修订、重复、断档和异常证据
